batch,score,loss,loss_v
384,-44,-7.7034883,524.71716
385,-50,-14.680566,539.96155
386,-38,-5.661238,487.25497
387,-50,-9.535895,539.24115
388,-40,-3.7814054,502.22235
389,-50,-6.74183,538.4517
390,-46,-2.2203228,447.95718
391,-50,-5.6094646,538.78656
392,-50,-4.8442554,540.8184
393,-50,-2.3537755,540.1598
394,-44,-0.7711725,524.16846
395,-44,-6.5565577,371.72324
396,-50,-8.234685,538.63257
397,-40,-3.4386735,501.346
398,-24,-0.26289612,104.578094
399,-50,-5.747669,537.9942
400,-48,-4.3675966,478.62875
401,-36,-0.8940179,470.40973
402,-46,-2.719136,422.5182
403,-50,-6.819808,538.12366
404,-16,-0.627729,38.673084
405,-26,-3.5784626,103.76752
406,-50,-3.3535726,537.23596
407,-42,-4.8099685,354.37524
408,-38,-3.6694007,245.79883
409,-46,-5.713181,530.4679
410,-50,-8.887274,536.596
411,-50,-8.37391,537.51483
412,-28,-0.7296858,139.06229
413,-46,-3.5639582,530.8209
414,-36,-1.9626492,469.38907
415,-50,-1.0169833,538.12897
416,-34,-3.4721863,211.22324
417,-40,-0.7307229,499.5402
418,-50,-2.7634933,536.3014
419,-44,-5.896382,522.2117
420,-50,-6.0480113,536.5746
421,-50,-3.4423692,536.2685
422,-50,-5.835862,536.3226
423,-50,-5.041074,536.2128
424,-34,-2.2361438,186.23158
425,-40,-4.361198,498.40356
426,-38,-3.9649146,483.9132
427,-36,-2.567546,250.45863
428,-32,-2.05019,156.3949
429,-50,-7.836356,536.1026
430,-50,-5.418139,535.25256
431,-30,-1.8212628,137.52652
432,-38,-2.216497,484.31226
433,-36,-2.2719646,250.11514
434,-44,-3.1016805,407.60547
435,-50,-3.721706,535.4472
436,-26,-8.498599,372.16223
437,-50,-2.661114,535.15063
438,-50,-5.8613443,535.56537
439,-36,-2.6111405,210.08038
440,-50,-4.249962,535.14325
441,-38,-2.511899,240.5215
442,-32,-0.8954426,185.45929
443,-50,-9.005102,535.3721
444,-40,-3.1521735,497.32422
445,-46,-2.1836,527.7201
446,-50,-3.7490637,534.2432
447,-32,-1.8358338,168.35085
448,-32,-3.085126,192.41318
449,-46,-3.507682,527.4881
450,-44,-3.613893,368.28137
451,-34,-6.6773906,448.90936
452,-50,-3.6922667,534.44574
453,-46,-6.9449244,527.1527
454,-50,-7.920821,534.3834
455,-42,-3.1930723,508.8968
456,-50,-7.583096,534.0232
457,-30,-3.0620418,411.50195
458,-42,-5.1911545,507.86426
459,-36,-4.6951513,248.80176
460,-42,-4.011212,320.6293
461,-36,-3.964706,465.65634
462,-50,-7.3343844,533.19824
